Epoch 270, RMSE: 0.6044653675945849, R^2: 0.6346, MSE: 0.3653783806212567
Epoch 271, RMSE: 0.6044216682514179, R^2: 0.6347, MSE: 0.36532555305182696
Epoch 272, RMSE: 0.6043782443635861, R^2: 0.6347, MSE: 0.3652730622600106
Epoch 273, RMSE: 0.6043350933487872, R^2: 0.6348, MSE: 0.3652209050528873
Epoch 274, RMSE: 0.6042922126633667, R^2: 0.6348, MSE: 0.36516907828558764
Epoch 275, RMSE: 0.6042495998014868, R^2: 0.6349, MSE: 0.365117578860257
Epoch 276, RMSE: 0.6042072522943164, R^2: 0.6349, MSE: 0.36506640372504773
Epoch 277, RMSE: 0.6041651677092436, R^2: 0.6350, MSE: 0.36501554987313833
Epoch 278, RMSE: 0.6041233436491087, R^2: 0.6350, MSE: 0.36496501434177914
Epoch 279, RMSE: 0.6040817777514589, R^2: 0.6351, MSE: 0.36491479421136297
Epoch 280, RMSE: 0.6040404676878203, R^2: 0.6351, MSE: 0.3648648866045206
Epoch 281, RMSE: 0.6039994111629913, R^2: 0.6352, MSE: 0.36481528868524016
Epoch 282, RMSE: 0.6039586059143541, R^2: 0.6352, MSE: 0.3647659976580101
Epoch 283, RMSE: 0.6039180497112038, R^2: 0.6353, MSE: 0.36471701076698404
Epoch 284, RMSE: 0.603877740354095, R^2: 0.6353, MSE: 0.3646683252951678
Epoch 285, RMSE: 0.603837675674206, R^2: 0.6354, MSE: 0.3646199385636275
Epoch 286, RMSE: 0.6037978535327185, R^2: 0.6354, MSE: 0.3645718479307182
Epoch 287, RMSE: 0.6037582718202147, R^2: 0.6355, MSE: 0.36452405079133227
Epoch 288, RMSE: 0.6037189284560883, R^2: 0.6355, MSE: 0.36447654457616746
Epoch 289, RMSE: 0.6036798213879717, R^2: 0.6356, MSE: 0.36442932675101347
Epoch 290, RMSE: 0.6036409485911775, R^2: 0.6356, MSE: 0.36438239481605655
Epoch 291, RMSE: 0.6036023080681534, R^2: 0.6357, MSE: 0.364335746305202
Epoch 292, RMSE: 0.6035638978479526, R^2: 0.6357, MSE: 0.36428937878541384
Epoch 293, RMSE: 0.6035257159857156, R^2: 0.6358, MSE: 0.36424328985607063
Epoch 294, RMSE: 0.6034877605621662, R^2: 0.6358, MSE: 0.36419747714833844
Epoch 295, RMSE: 0.6034500296831197, R^2: 0.6358, MSE: 0.364151938324558
Epoch 296, RMSE: 0.6034125214790031, R^2: 0.6359, MSE: 0.36410667107764844
Epoch 297, RMSE: 0.603375234104388, R^2: 0.6359, MSE: 0.364061673130525
Epoch 298, RMSE: 0.6033381657375334, R^2: 0.6360, MSE: 0.3640169422355313
Epoch 299, RMSE: 0.6033013145799418, R^2: 0.6360, MSE: 0.3639724761738859
Epoch 300, RMSE: 0.6032646788559243, R^2: 0.6361, MSE: 0.3639282727551414
Epoch 301, RMSE: 0.6032282568121768, R^2: 0.6361, MSE: 0.3638843298166576
Epoch 302, RMSE: 0.6031920467173678, R^2: 0.6362, MSE: 0.36384064522308723
Epoch 303, RMSE: 0.6031560468617336, R^2: 0.6362, MSE: 0.36379721686587385
Epoch 304, RMSE: 0.6031202555566857, R^2: 0.6362, MSE: 0.36375404266276185
